# step,x,y,z
0,0.000000,0.000000,0.999019
1,0.000000,0.000000,0.997057
2,0.000000,0.000000,0.994114
3,0.000000,0.000000,0.990190
4,0.000000,0.000000,0.985285
5,0.000000,0.000000,0.979399
6,0.000000,0.000000,0.972532
7,0.000000,0.000000,0.964684
8,0.000000,0.000000,0.955855
9,0.000000,0.000000,0.946045
10,0.000000,0.000000,0.935254
11,0.000000,0.000000,0.923482
12,0.000000,0.000000,0.910729
13,0.000000,0.000000,0.896995
14,0.000000,0.000000,0.882280
15,0.000000,0.000000,0.866584
16,0.000000,0.000000,0.849907
17,0.000000,0.000000,0.832249
18,0.000000,0.000000,0.813610
19,0.000000,0.000000,0.793990
20,0.000000,0.000000,0.773389
21,0.000000,0.000000,0.751807
22,0.000000,0.000000,0.729244
23,0.000000,0.000000,0.705700
24,0.000000,0.000000,0.681175
25,0.000000,0.000000,0.655669
26,0.000000,0.000000,0.629182
27,0.000000,0.000000,0.601714
28,0.000000,0.000000,0.573265
29,0.000000,0.000000,0.543835
30,0.000000,0.000000,0.513424
31,0.000000,0.000000,0.482032
32,0.000000,0.000000,0.449659
33,0.000000,0.000000,0.416305
34,0.000000,0.000000,0.381970
35,0.000000,0.000000,0.346654
36,0.000000,0.000000,0.310357
37,0.000000,0.000000,0.273079
38,0.000000,0.000000,0.234820
39,0.000000,0.000000,0.195580
40,0.000000,0.000000,0.196636
41,0.000000,0.000000,0.197428
42,0.000000,0.000000,0.198022
43,0.000000,0.000000,0.198467
44,0.000000,0.000000,0.198802
45,0.000000,0.000000,0.199052
46,0.000000,0.000000,0.199240
47,0.000000,0.000000,0.199374
48,0.000000,0.000000,0.199465
49,0.000000,0.000000,0.199525
50,0.000000,0.000000,0.199562
51,0.000000,0.000000,0.199587
52,0.000000,0.000000,0.199603
53,0.000000,0.000000,0.199613
54,0.000000,0.000000,0.199620
55,0.000000,0.000000,0.199624
56,0.000000,0.000000,0.199627
57,0.000000,0.000000,0.199629
58,0.000000,0.000000,0.199630
59,0.000000,0.000000,0.199631
60,0.000000,0.000000,0.199632
61,0.000000,0.000000,0.199632
62,0.000000,0.000000,0.199632
63,0.000000,0.000000,0.199632
64,0.000000,0.000000,0.199633
65,0.000000,0.000000,0.199633
66,0.000000,0.000000,0.199633
67,0.000000,0.000000,0.199633
68,0.000000,0.000000,0.199633
69,0.000000,0.000000,0.199633
70,0.000000,0.000000,0.199633
71,0.000000,0.000000,0.199633
72,0.000000,0.000000,0.199633
73,0.000000,0.000000,0.199633
74,0.000000,0.000000,0.199633
75,0.000000,0.000000,0.199633
76,0.000000,0.000000,0.199633
77,0.000000,0.000000,0.199633
78,0.000000,0.000000,0.199633
79,0.000000,0.000000,0.199633
80,0.000000,0.000000,0.199633
81,0.000000,0.000000,0.199633
82,0.000000,0.000000,0.199633
83,0.000000,0.000000,0.199633
84,0.000000,0.000000,0.199633
85,0.000000,0.000000,0.199633
86,0.000000,0.000000,0.199633
87,0.000000,0.000000,0.199633
88,0.000000,0.000000,0.199633
89,0.000000,0.000000,0.199633
90,0.000000,0.000000,0.199633
91,0.000000,0.000000,0.199633
92,0.000000,0.000000,0.199633
93,0.000000,0.000000,0.199633
94,0.000000,0.000000,0.199633
95,0.000000,0.000000,0.199633
96,0.000000,0.000000,0.199633
97,0.000000,0.000000,0.199633
98,0.000000,0.000000,0.199633
99,0.000000,0.000000,0.199633
100,0.000000,0.000000,0.199633
101,0.000000,0.000000,0.199633
102,0.000000,0.000000,0.199633
103,0.000000,0.000000,0.199633
104,0.000000,0.000000,0.199633
105,0.000000,0.000000,0.199633
106,0.000000,0.000000,0.199633
107,0.000000,0.000000,0.199633
108,0.000000,0.000000,0.199633
109,0.000000,0.000000,0.199633
110,0.000000,0.000000,0.199633
111,0.000000,0.000000,0.199633
112,0.000000,0.000000,0.199633
113,0.000000,0.000000,0.199633
114,0.000000,0.000000,0.199633
115,0.000000,0.000000,0.199633
116,0.000000,0.000000,0.199633
117,0.000000,0.000000,0.199633
118,0.000000,0.000000,0.199633
119,0.000000,0.000000,0.199633
